DiseaseID,DiseaseName,disease_index
MESH:D006342,"Heart Rupture, Post-Infarction",434
MESH:D022124,Hyperammonemia,435
MESH:D007673,Kidney Cortex Necrosis,436
MESH:D005334,Fever,437
MESH:D011123,Polyploidy,438
MESH:D018281,Cholangiocarcinoma,439
MESH:D003920,Diabetes Mellitus,440
MESH:D001989,Bronchiolitis Obliterans,441
MESH:D059350,Chronic Pain,442
MESH:D006520,"Hepatitis, Animal",443
MESH:D000855,Anorexia,444
MESH:D018376,Cardiovascular Abnormalities,445
MESH:D007970,Leukopenia,446
MESH:D008654,Mesothelioma,447
MESH:D001424,Bacterial Infections,448
MESH:D007896,Leishmaniasis,449
MESH:D000648,"Amnesia, Retrograde",450
MESH:C537922,Fetal hydantoin syndrome,451
MESH:D006030,"Glycosuria, Renal",452
MESH:D000740,Anemia,453
MESH:D006561,Herpes Simplex,454
MESH:D005770,Gastrointestinal Neoplasms,455
MESH:D006258,Head and Neck Neoplasms,456
MESH:D002583,Uterine Cervical Neoplasms,457
MESH:D000090862,Neuroinflammatory Diseases,458
MESH:D015674,"Mammary Neoplasms, Animal",459
MESH:D006712,Homocystinuria,460
MESH:D000505,Alopecia,461
MESH:D003550,Cystic Fibrosis,462
MESH:D008059,Mucopolysaccharidosis I,463
MESH:D020388,"Muscular Dystrophy, Duchenne",464
MESH:D052245,Usher Syndromes,465
MESH:D009290,Narcolepsy,466
MESH:D002312,"Cardiomyopathy, Hypertrophic",467
MESH:D011657,Pulmonary Eosinophilia,468
MESH:D006461,Hemolysis,469
MESH:D011115,Polyneuropathies,470
MESH:D019465,Craniofacial Abnormalities,471
MESH:D002422,Causalgia,472
MESH:D006471,Gastrointestinal Hemorrhage,473
MESH:D001024,Aortic Valve Stenosis,474
MESH:D002357,Cartilage Diseases,475
MESH:D014777,Virus Diseases,476
MESH:D001281,Atrial Fibrillation,477
MESH:D011087,Polycythemia Vera,478
MESH:D011015,"Pneumonia, Aspiration",479
MESH:D017379,"Hypertrophy, Left Ventricular",480
MESH:D012509,Sarcoma,481
MESH:D001523,Mental Disorders,482
MESH:D010554,Personality Disorders,483
MESH:D001049,Apnea,484
MESH:D009325,Nausea,485
MESH:C562842,"Carcinoid Tumors, Intestinal",486
MESH:D008303,Malignant Carcinoid Syndrome,487
MESH:D018358,Neuroendocrine Tumors,488
MESH:D001161,Arteriosclerosis,489
MESH:D014376,Tuberculosis,490
MESH:D012162,Retinal Degeneration,491
MESH:D004830,"Epilepsy, Tonic-Clonic",492
MESH:D012652,Self Mutilation,493
MESH:D007411,"Intestinal Diseases, Parasitic",494
MESH:D008174,"Lung Diseases, Parasitic",495
MESH:D009855,Onchocerciasis,496
MESH:D010272,Parasitic Diseases,497
MESH:D013322,Strongyloidiasis,498
MESH:D004421,Dystonia,499
MESH:D007942,"Leukemia, Experimental",500
MESH:D016403,"Lymphoma, Large B-Cell, Diffuse",501
MESH:D020522,"Lymphoma, Mantle-Cell",502
MESH:D006689,Hodgkin Disease,503
