ChemicalID,ChemicalName,drug_index
C521335,"2-(2'-(dimethylamino)ethyl)-1,2-dihydro-7-ethoxydibenz(de,h)isoquinoline-1,3-dione",218
C027032,"2,2'-dithiodiethanesulfonic acid",219
C560790,2-(2-fluorobenzamido)benzoate ethyl ester,220
C539997,"2-(2-furanyl)-7-(2-(4-(4-(2-methoxyethoxy)phenyl)-1-piperazinyl)ethyl)-7H-pyrazolo(4,3-e)(1,2,4)triazolo(1,5-c)pyrimidine-5-amine",221
C446520,"2-(2-hydroxyethylsulfanyl)-3-methyl-1,4-naphthoquinone",222
C094210,"2,2'-(hydroxynitrosohydrazono)bis-ethanamine",223
C110190,"2,2-phenyl-3,3a-dihydro-4-oxo-5-(4-phenylpiperazin-1-yl)methylpyrazolo(1,5-d)(1,2,4)triazine",224
C505456,2-((2-piperidin-1-ylethyl)thio)quinazolin-4(3H)-one,225
C514145,"(22R, 25R)-20alpha-spirost-5-en-3beta-yl hexanoate",226
C487113,"2-((3-(1,3-benzodioxol-5-yl)-3-(((6-methoxy-2-naphthyl)sulfonyl)amino)propanoyl)amino)-3-(4-((2,6-dimethylpiperidinyl)methyl)phenyl)-N-isopropyl-N-methylpropanamide",227
D015647,"2,3,4,5-Tetrahydro-7,8-dihydroxy-1-phenyl-1H-3-benzazepine",228
C560273,"2-(3',4'-dihydroxyphenyl)-5,7-dihydroxy-3-(2'',6''-di-O-(3'''-(4-fluorophenylpropanoyl)))galactosyl-4H-chromen-4-one",229
C539142,"2-(3,4-dimethoxybenzyl)-7-(1-(1-hydroxyethyl)-4-phenylbutyl)-5-methylimidazo(5,1-f)(1,2,4)triazin-4 (3H)-one",230
C093026,"2,3,5,4'-tetrahydroxystilbene 2-O-glucopyranoside",231
C036837,"2,3,5-trimethyl-6-(12-hydroxy-5,10-dodecadiynyl)-1,4-benzoquinone",232
C558395,"2-(3-benzoyl)-4-hydroxy-1,1-dioxo-2H-1,2-benzothiazine-2-yl-1-phenylethanone",233
C029498,"2,3-bis(3'-hydroxybenzyl)butane-1,4-diol",234
C029497,"2,3-bis(3'-hydroxybenzyl)butyrolactone",235
C486182,"2,3-bis(4-hydroxyphenyl)-propionitrile",236
C017199,"2',3'-dialdehyde ATP",237
C054312,"2,3-diaminophenazine",238
C485382,"2',3'-dideoxy-5-fluoro-3'-thiacytidine triphosphate",239
C037406,"2',3'-dideoxycytidine 5'-triphosphate",240
C009135,"2,3-dihydroxybenzoic acid",241
C001042,"2',3-dimethyl-4-aminobiphenyl",242
C062865,"2,3-dioxo-6-nitro-7-sulfamoylbenzo(f)quinoxaline",243
C511643,23-hydroxytormentic acid,244
C474576,2-(3-mercaptopropyl)pentanedioic acid,245
C045674,"2',3'-O-(2,4,6-trinitro-cyclohexadienylidine)adenosine 5'-triphosphate",246
C009587,"2',3'-O-(2,4,6-trinitrophenyl)adenosine 5'-triphosphate",247
C092716,2-(3-trifluoromethylphenyl)histamine,248
C545121,2-((4-(1-methyl-4-pyridin-4-yl-1H-pyrazol-3-yl)phenoxy)methyl)quinoline,249
C449119,"2-(4-(2-(((1,2)-2-hydroxy-2-(4-hydroxyphenyl)-1-methylethyl)amino)ethyl)phenoxy)-2-methylpropionic acid",250
C517140,"2-(4-(2-(3,4-dichlorophenyl)ethyl)phenylamino)benzoic acid",251
D015650,"24,25-Dihydroxyvitamin D 3",252
C061282,2-(4-(2-carboxyethyl)phenethylamino)-5'-N-ethylcarboxamidoadenosine,253
C440850,"2,4,3',5'-tetramethoxystilbene",254
C477900,"2-(4-(4-chlorophenyl)piperazin-1-ylmethyl)pyrazolo(1,5-a)-pyridine",255
C014024,"2,4,5,2',4',5'-hexachlorobiphenyl",256
C107067,"2,4,6-trihydroxyacetophenone",257
C054589,"2,4,6-triphenyl-1,3-dioxane",258
C104564,2-(4-acetoxyphenyl)-2-chloro-N-methylethylamine,259
C525921,"2-(4-(biphenyl-4-sulfonyl)-piperazin-1-yl)-6,7-dipropoxyquinazolin-4-yl-amine",260
C548544,"2-(4-chloro-6-(2,3-dimethylphenylamino)pyrimidin-2-ylthio)octanoic acid",261
C553486,"2-(4-cyclopropylphenyl)-N-(1-(5-((2,2,2-trifluoroethyl)oxo)pyridin-2-yl)ethyl)acetamide",262
C000612000,24-diamino-5-phenylthiazole,263
C005959,"2,4-diaminobutyric acid",264
D015084,"2,4-Dichlorophenoxyacetic Acid",265
C501649,"2',4'-dihydroxy-6'-methoxy-3',5'-dimethylchalcone",266
